total key:5240
Qtable's state : 15	 , action : Stop	,key's item : -1.01279394999
Qtable's state : 15	 , action : Stop	,key's item : -0.99
Qtable's state : 15	 , action : East	,key's item : -0.9
Qtable's state : 15	 , action : South	,key's item : -0.99
Qtable's state : 15	 , action : Stop	,key's item : -0.9
Qtable's state : 15	 , action : East	,key's item : 0
Qtable's state : 15	 , action : South	,key's item : 0
Qtable's state : 15	 , action : Stop	,key's item : -0.9
Qtable's state : 15	 , action : East	,key's item : 0
Qtable's state : 15	 , action : South	,key's item : 0
Qtable's state : 15	 , action : Stop	,key's item : 0
Qtable's state : 15	 , action : East	,key's item : 0
Qtable's state : 15	 , action : South	,key's item : -0.9
Qtable's state : 14	 , action : Stop	,key's item : 0
Qtable's state : 14	 , action : East	,key's item : 0
Qtable's state : 14	 , action : North	,key's item : 0
Qtable's state : 14	 , action : South	,key's item : -0.9
Qtable's state : 13	 , action : Stop	,key's item : 0
Qtable's state : 13	 , action : East	,key's item : 0
Qtable's state : 13	 , action : North	,key's item : 0
Qtable's state : 13	 , action : South	,key's item : -0.9
Qtable's state : 12	 , action : Stop	,key's item : 0
Qtable's state : 12	 , action : East	,key's item : 0
Qtable's state : 12	 , action : North	,key's item : 0
Qtable's state : 12	 , action : South	,key's item : -0.9
Qtable's state : 11	 , action : Stop	,key's item : 0
Qtable's state : 11	 , action : East	,key's item : -0.9
Qtable's state : 11	 , action : North	,key's item : 0
Qtable's state : 21	 , action : West	,key's item : 0
Qtable's state : 21	 , action : Stop	,key's item : 0
Qtable's state : 21	 , action : East	,key's item : -0.9
Qtable's state : 21	 , action : North	,key's item : 0
Qtable's state : 31	 , action : West	,key's item : 0
Qtable's state : 31	 , action : Stop	,key's item : 0
Qtable's state : 31	 , action : East	,key's item : -0.9
Qtable's state : 41	 , action : West	,key's item : 0
Qtable's state : 41	 , action : Stop	,key's item : 0
Qtable's state : 41	 , action : East	,key's item : 0
Qtable's state : 41	 , action : North	,key's item : -0.9
Qtable's state : 42	 , action : Stop	,key's item : 0
Qtable's state : 42	 , action : East	,key's item : 0
Qtable's state : 42	 , action : North	,key's item : -0.9
Qtable's state : 42	 , action : South	,key's item : 0
Qtable's state : 43	 , action : Stop	,key's item : 0
Qtable's state : 43	 , action : East	,key's item : -0.9
Qtable's state : 43	 , action : North	,key's item : 0
Qtable's state : 43	 , action : South	,key's item : 0
Qtable's state : 53	 , action : West	,key's item : 0
Qtable's state : 53	 , action : Stop	,key's item : -0.9
Qtable's state : 53	 , action : East	,key's item : 0
Qtable's state : 53	 , action : North	,key's item : 0
Qtable's state : 53	 , action : South	,key's item : 0
Qtable's state : 53	 , action : West	,key's item : 0
Qtable's state : 53	 , action : Stop	,key's item : 0
Qtable's state : 53	 , action : East	,key's item : 0
Qtable's state : 53	 , action : North	,key's item : 0
Qtable's state : 53	 , action : South	,key's item : 8.1
Qtable's state : 52	 , action : West	,key's item : -0.9
Qtable's state : 52	 , action : Stop	,key's item : 0
Qtable's state : 52	 , action : East	,key's item : 0
Qtable's state : 52	 , action : North	,key's item : 0
Qtable's state : 52	 , action : South	,key's item : 0
Qtable's state : 42	 , action : Stop	,key's item : 0
Qtable's state : 42	 , action : East	,key's item : 0
Qtable's state : 42	 , action : North	,key's item : 0
Qtable's state : 42	 , action : South	,key's item : -0.9
Qtable's state : 41	 , action : West	,key's item : 0
Qtable's state : 41	 , action : Stop	,key's item : 0
Qtable's state : 41	 , action : East	,key's item : 0
Qtable's state : 41	 , action : North	,key's item : -0.9
Qtable's state : 42	 , action : Stop	,key's item : 0
Qtable's state : 42	 , action : East	,key's item : 0
Qtable's state : 42	 , action : North	,key's item : 0
Qtable's state : 42	 , action : South	,key's item : -0.9
Qtable's state : 41	 , action : West	,key's item : -0.9
Qtable's state : 41	 , action : Stop	,key's item : 0
Qtable's state : 41	 , action : East	,key's item : 0
Qtable's state : 41	 , action : North	,key's item : 0
Qtable's state : 31	 , action : West	,key's item : -0.9
Qtable's state : 31	 , action : Stop	,key's item : 0
Qtable's state : 31	 , action : East	,key's item : 0
